pair,horizon_w,bucket,n,mean_fwd_pct,t_stat
GBPUSD,1,80-100,1021,-0.027066892597512455,-0.7934909446623366
GBPUSD,2,0-20,1155,0.0944246879762246,1.3809994287199714
GBPUSD,2,20-40,1705,0.007562771477560187,0.17773054811719532
GBPUSD,2,40-60,1714,-0.0016425484315016065,-0.04573677995301923
GBPUSD,2,60-80,1304,-0.07842600364918369,-2.0355531945004777
GBPUSD,2,80-100,1016,-0.09085044034835238,-1.786887566398627
GBPUSD,4,0-20,1155,-0.0453417590790589,-0.47016941921074207
GBPUSD,4,20-40,1705,0.11320524205538948,2.055979221348182
GBPUSD,4,40-60,1714,0.041072944118424465,0.8006709945455058
GBPUSD,4,60-80,1299,-0.1390643178366285,-2.6988154420086836
GBPUSD,4,80-100,1011,-0.18550305209246667,-2.5724527316432995
GBPUSD,8,0-20,1155,-0.1504530719231221,-1.080762376297424
GBPUSD,8,20-40,1705,0.20559929920223868,2.682791142809177
GBPUSD,8,40-60,1714,0.14094486074570603,2.106097368462585
GBPUSD,8,60-80,1293,-0.31470517090144673,-4.534933640096015
GBPUSD,8,80-100,997,-0.26784025178529147,-2.61460529440115
GBPUSD,13,0-20,1155,-0.2669605876343587,-1.4532809343076882
GBPUSD,13,20-40,1705,0.09286537285175207,0.9508337427359874
GBPUSD,13,40-60,1701,0.08715265177853658,1.0479224084647396
GBPUSD,13,60-80,1281,-0.2506067326058285,-2.7835310294288713
GBPUSD,13,80-100,997,-0.026972782577528397,-0.22783479391056782
AUDUSD,1,0-20,641,-0.0479551482172069,-0.8814057834066887
AUDUSD,1,20-40,508,-0.1871472996477397,-2.8844595997689937
AUDUSD,1,40-60,408,0.11582441177747128,1.688498750626379
AUDUSD,1,60-80,425,0.008107143866054541,0.1381428572076859
AUDUSD,1,80-100,455,-0.21555248955823547,-3.3043295714524086
AUDUSD,2,0-20,641,-0.16148176482887022,-2.158195988170534
AUDUSD,2,20-40,503,-0.2434853730767229,-2.7630159442462143
AUDUSD,2,40-60,408,0.15194039735943915,1.4966473473681634
AUDUSD,2,60-80,425,-0.06389247139616057,-0.7232877411730321
AUDUSD,2,80-100,455,-0.35294609370312247,-4.045130906704136
AUDUSD,4,0-20,636,-0.25007581438919163,-2.656482067456217
AUDUSD,4,20-40,498,-0.6275033508243468,-5.047912774703257
AUDUSD,4,40-60,408,0.2707073246179998,1.8564457789780502
AUDUSD,4,60-80,425,-0.22100377355259754,-1.6906946490649695
AUDUSD,4,80-100,455,-0.5377139832816911,-5.258501901814213
AUDUSD,8,0-20,636,-0.2440271588286678,-1.9974834188549615
AUDUSD,8,20-40,478,-1.1131322922773756,-6.2782241646831345
AUDUSD,8,40-60,408,-0.3226910374735943,-1.6627054793805889
AUDUSD,8,60-80,425,-0.4882390648238014,-2.9469059617864413
AUDUSD,8,80-100,455,-0.7614276735902612,-4.865275195742576
AUDUSD,13,0-20,625,-0.11795885441980027,-0.8760041897501049
AUDUSD,13,20-40,464,-1.4856251056681833,-6.215783113439065
AUDUSD,13,40-60,408,-1.510761903383117,-7.0467888954798505
AUDUSD,13,60-80,425,-1.3377794568049943,-5.939505566046127
AUDUSD,13,80-100,455,-0.5684426985521488,-2.9004483364093288
NZDUSD,1,0-20,591,0.05029481878217355,0.8347720557357314
NZDUSD,1,20-40,530,0.04553771696992475,0.7606188991811577
NZDUSD,1,40-60,711,-0.11915622276893063,-2.125311542506253
