date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2000-02-15,22295,-14138,47791,39512,17217,1352,15490
2000-02-22,14255,-10441,47438,36043,21788,1454,11895
2000-02-29,22803,-14810,51024,42339,19536,1560,16370
2000-03-07,20210,-12357,62049,51628,31418,1997,14354
2000-03-14,27320,-17790,43677,37526,10206,627,18417
2000-03-21,23615,-17132,43392,34899,11284,625,17757
2000-03-28,11776,-5674,37843,28007,16231,3404,9078
2000-04-04,5046,-1120,40719,25887,20841,6122,7242
2000-04-11,10950,-5762,38671,29735,18785,1945,7707
2000-04-18,16944,-8699,42051,34729,17785,1737,10436
2000-04-25,18393,-10669,42813,35823,17430,1266,11935
2000-05-02,30008,-18048,52717,45440,15432,1902,19950
2000-05-09,29373,-17943,51395,44755,15382,1082,19025
2000-05-16,27479,-13124,49851,41035,13556,570,13694
2000-05-23,29400,-16389,53580,43771,14371,570,16959
2000-05-30,25089,-12974,52836,41060,15971,1249,14223
2000-06-06,19340,-8019,50316,40591,21251,770,8789
2000-06-13,17199,-8103,52278,43446,26247,770,8873
2000-06-20,12975,-4660,25945,19066,6091,0,4660
2000-06-27,13471,-4662,26582,19358,5887,0,4662
2000-07-05,10795,-2439,28243,18830,8035,2493,4932
2000-07-11,11552,-3554,27846,20373,8821,1126,4680
2000-07-18,18791,-5797,33703,26872,8081,406,6203
2000-07-25,4675,-958,30688,17589,12914,2662,3620
2000-08-01,12267,-3629,31895,22845,10578,1458,5087
2000-08-08,13691,-5052,31666,23548,9857,1068,6120
2000-08-15,14441,-5224,30511,23310,8869,689,5913
2000-08-22,24896,-14685,41087,33424,8528,401,15086
2000-08-29,26831,-16574,45752,35583,8752,0,16574
2000-09-05,27413,-16174,45161,34941,7528,807,16981
2000-09-12,24539,-14785,54969,38430,13891,470,15255
2000-09-19,23514,-15022,37690,27469,3955,4,15026
2000-09-26,13313,-6907,32381,24311,10998,36,6943
2000-10-03,10367,-5271,30294,21478,11111,46,5317
2000-10-10,8474,-4061,30327,20677,12203,99,4160
2000-10-17,11038,-4731,31982,23233,12195,638,5369
2000-10-24,10284,-4213,30852,22989,12705,71,4284
2000-10-31,8866,-3425,31177,22383,13517,724,4149
2000-11-07,13194,-3768,34188,25748,12554,1166,4934
2000-11-14,12819,-4342,33617,25740,12921,412,4754
2000-11-21,15649,-5824,36018,27864,12215,594,6418
2000-11-28,16042,-6969,37298,27256,11214,610,7579
2000-12-05,11420,-5349,40519,30799,19379,552,5901
2000-12-12,7386,-2189,38716,28539,21153,667,2856
2000-12-19,3228,-1618,23226,13142,9914,920,2538
2000-12-26,-803,-388,23181,11173,11976,1518,1906
2001-01-02,-6098,1837,27079,11354,17452,3722,1885
2001-01-09,-8393,2638,29253,12727,21120,3410,772
2001-01-16,-6811,2000,29854,13924,20735,3463,1463
2001-01-23,-6298,1868,28835,13407,19705,3091,1223
2001-01-30,-4278,1358,27837,13929,18207,2130,772
2001-02-06,-1582,1002,28738,15602,17184,2750,1748
2001-02-13,6368,-1701,30561,19930,13562,2556,4257
2001-02-20,8952,-2950,32335,21148,12196,2116,5066
2001-02-27,9345,-2738,31691,20777,11432,2104,4842
2001-03-06,379,43,37437,22347,21968,3435,3392
2001-03-13,-604,998,41230,24513,25117,5980,4982
2001-03-20,10087,-5106,29527,20006,9919,1004,6110
2001-03-27,14841,-8302,34343,24855,10014,1069,9371
2001-04-03,18290,-8464,37712,28726,10436,1815,10279
2001-04-10,14600,-5579,32735,25000,10400,1633,7212
2001-04-17,16078,-6973,33572,27344,11266,1506,8479
2001-04-24,11042,-5013,33311,24181,13139,1966,6979
2001-05-01,13911,-5592,34963,26570,12659,1822,7414
2001-05-08,18750,-9522,39216,29731,10981,1866,11388
2001-05-15,20340,-10314,41505,32551,12211,1052,11366
2001-05-22,18685,-8024,40620,32606,13921,1740,9764
2001-05-29,21983,-9858,44794,35867,13884,2039,11897
2001-06-05,24109,-12241,47003,38348,14239,2002,14243
2001-06-12,21848,-12401,61357,45011,23163,3767,16168
2001-06-19,26760,-13351,39946,31618,4858,1397,14748
2001-06-26,17800,-8951,34659,24143,6343,1486,10437
2001-07-03,18873,-8565,35912,26219,7346,844,9409
2001-07-10,15232,-6817,34163,23386,8154,1781,8598
2001-07-17,16519,-7682,33246,22495,5976,2164,9846
2001-07-24,897,-1720,31979,15993,15096,3602,5322
2001-07-31,988,-2012,31886,16284,15296,3476,5488
2001-08-07,6254,-3137,33927,20402,14148,2643,5780
2001-08-14,-4410,1208,36855,25961,30371,6161,4953
