date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2009-07-21,-54980,34772,143414,24786,79766,66273,31501
2009-07-28,-38650,20287,136354,26861,65511,55671,35384
2009-08-04,-49470,27106,138237,22984,72454,61443,34337
2009-08-11,-35775,16811,130222,27364,63139,46396,29585
2009-08-18,-21398,5732,127640,36807,58205,38823,33091
2009-08-25,-38425,18171,128651,30702,69127,48251,30080
2009-09-01,-25219,9017,128047,38126,63345,42624,33607
2009-09-08,-40707,18033,149891,38907,79614,56543,38510
2009-09-15,-63539,37772,156349,22673,86212,74562,36790
2009-09-22,-60578,38000,162551,30609,91187,76545,38545
2009-09-29,-62124,39766,164913,32122,94246,77852,38086
2009-10-06,-75540,51045,170878,30059,105599,86229,35184
2009-10-13,-66047,43367,166326,30875,96922,79762,36395
2009-10-20,-56403,36033,170291,38176,94579,77829,41796
2009-10-27,-56712,32869,164798,40621,97333,67843,34974
2009-11-03,-41703,22191,161257,44743,86446,64023,41832
2009-11-09,-44121,25173,164192,43340,87461,67904,42731
2009-11-17,-31252,11956,172325,52687,83939,64268,52312
2009-11-24,-36580,18467,173834,53323,89903,70841,52374
2009-12-01,-45274,22151,175155,49443,94717,71123,48972
2009-12-08,-16298,-511,179294,76017,92315,52035,52546
2009-12-15,-1059,-16448,132017,39669,40728,42987,59435
2009-12-22,-1546,-14327,134600,45292,46838,40925,55252
2009-12-29,25550,-33797,144152,66911,41361,34132,67929
2010-01-05,29551,-35788,156155,75603,46052,37229,73017
2010-01-12,11735,-17917,161287,77041,65306,36186,54103
2010-01-19,20721,-25282,164501,80493,59772,34186,59468
2010-01-26,41348,-39539,184978,107572,66224,33106,72645
2010-02-02,46547,-43741,186878,110320,63773,31207,74948
2010-02-09,63368,-57152,197457,120004,56636,34867,92019
2010-02-16,63506,-59422,196042,119236,55730,34459,93881
2010-02-23,78246,-71623,208474,135199,56953,32728,104351
