date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2013-03-12,67665,-53397,249150,181721,114056,37020,90417
2013-03-19,76642,-65331,308970,235665,159023,39417,104748
2013-03-26,71516,-62645,160847,105065,33549,26286,88931
2013-04-02,71125,-64544,163150,105344,34219,26212,90756
2013-04-09,78832,-71133,161861,110957,32125,24056,95189
2013-04-16,85843,-75913,171111,119246,33403,26003,101916
2013-04-23,83168,-71679,171804,117167,33999,27940,99619
2013-04-30,73887,-67848,161473,110577,36690,23246,91094
2013-05-07,51691,-51916,149014,92646,40955,25741,77657
2013-05-14,39114,-44417,142482,80107,40993,28352,72769
2013-05-21,44128,-33852,141531,84231,40103,30686,64538
2013-05-28,49066,-33359,144725,88719,39653,28298,61657
2013-06-04,58007,-39776,141838,97317,39310,22351,62127
2013-06-11,48689,-35907,145729,98780,50091,17343,53250
2013-06-18,35220,-26087,145484,100129,64909,15470,41557
2013-06-25,24355,-10638,109819,60951,36596,27186,37824
2013-07-02,34170,-16250,126754,70456,36286,35398,51648
2013-07-09,41388,-23829,140106,80806,39418,37260,61089
2013-07-16,36810,-20043,133870,80511,43701,32187,52230
2013-07-23,28405,-16758,119597,74122,45717,22262,39020
2013-07-30,22382,-11434,111005,66544,44162,20729,32163
2013-08-06,20864,-10436,106787,62191,41327,22629,33065
2013-08-13,18628,-9081,105303,60271,41643,21751,30832
2013-08-20,20939,-9544,108282,60065,39126,26559,36103
2013-08-27,41187,-24959,133392,75703,34516,35375,60334
2013-09-03,49279,-34639,143241,87628,38349,31879,66518
2013-09-10,42413,-30942,137986,89696,47283,24621,55563
2013-09-17,22859,-18764,142925,90759,67900,25286,44050
2013-09-24,4208,-5675,119624,51746,47538,40278,45953
2013-10-01,-1743,-955,122732,50999,52742,43734,44689
2013-10-08,10273,-8663,118332,58507,48234,33857,42520
2013-10-15,16299,-10814,112544,59892,43593,28436,39250
2013-10-22,5526,-5364,109316,53694,48168,28906,34270
2013-10-29,21521,-15237,116157,63565,42044,27233,42470
2013-11-05,25167,-18002,117253,65070,39903,26803,44805
2013-11-12,23532,-16092,118952,61948,38416,29306,45398
2013-11-19,23221,-16335,121813,62818,39597,31656,47991
2013-11-26,41002,-28780,129471,74321,33319,28143,56923
2013-12-03,56430,-41583,145767,85823,29393,32589,74172
2013-12-10,75430,-57514,160759,102583,27153,31049,88563
2013-12-17,81520,-65500,187136,128256,46736,25133,90633
2013-12-24,74109,-58432,149359,97141,23032,28191,86623
2013-12-31,73939,-57956,149037,96555,22616,28206,86162
2014-01-07,77670,-60542,156950,100257,22587,30535,91077
2014-01-14,84311,-67345,171370,108454,24143,34212,101557
2014-01-21,89804,-70327,169456,112401,22597,29423,99750
2014-01-28,76169,-62789,157214,100271,24102,25976,88765
2014-02-04,79252,-60300,160625,103483,24231,29439,89739
2014-02-11,73633,-58928,157495,100937,27304,27745,86673
2014-02-18,76670,-65000,154862,98317,21647,27756,92756
2014-02-25,67859,-58591,141519,87922,20063,24865,83456
2014-03-04,69874,-61096,147033,92528,22654,23306,84402
2014-03-11,62995,-52191,153639,91067,28072,25180,77371
2014-03-18,76337,-69805,186782,108340,32003,27751,97556
2014-03-25,49979,-33215,133246,66564,16585,40441,73656
2014-04-01,47728,-36994,117966,64673,16945,27549,64543
2014-04-08,42727,-34307,120336,63008,20281,28704,63011
2014-04-15,37842,-35426,119525,61985,24143,28288,63714
2014-04-22,36085,-35455,118707,61316,25231,27529,62984
2014-04-29,30005,-30295,123589,60536,30531,30093,60388
2014-05-06,31716,-31600,122287,61606,29890,28044,59644
2014-05-13,28786,-26037,121632,62277,33491,26986,53023
2014-05-20,30325,-26534,121268,63083,32758,26500,53034
2014-05-27,22069,-21810,129989,63738,41669,32581,54391
2014-06-03,25590,-22731,130275,66011,40421,32519,55250
2014-06-10,28027,-24108,125832,62263,34236,30303,54411
2014-06-17,9311,-21533,132209,47778,38467,34582,56115
2014-06-24,4540,-5320,103193,29794,25254,40595,45915
2014-07-01,-9323,2695,111438,30835,40158,44755,42060
2014-07-08,-20698,10295,128555,32588,53286,58245,47950
2014-07-15,-24024,15621,129787,33209,57233,60353,44732
2014-07-22,-26406,20581,129188,33108,59514,62078,41497
2014-07-29,-26875,22691,122619,33594,60469,56459,33768
2014-08-05,-19784,21455,115261,36570,56354,48944,27489
2014-08-12,-13660,17998,108979,35969,49629,44053,26055
2014-08-19,-3342,7281,113301,40948,44290,41844,34563
2014-08-26,-3454,5663,108441,40150,43604,38522,32859
2014-09-02,-9374,9191,105984,39648,49022,35333,26142
2014-09-09,-6359,11630,102951,40549,46908,33400,21770
2014-09-16,3203,7544,110275,47031,43828,37347,29803
2014-09-23,6568,3064,76530,24196,17628,27673,24609
2014-09-30,14158,-4566,89376,29652,15494,33014,37580
2014-10-07,20631,-7452,100900,35995,15364,39174,46626
2014-10-14,29793,-16167,104060,42330,12537,35688,51855
2014-10-21,36770,-21534,102170,47671,10901,28837,50371
2014-10-28,34245,-21405,99309,45385,11140,26093,47498
2014-11-04,35667,-19415,104720,49104,13437,29627,49042
2014-11-11,36011,-21846,108445,49367,13356,32668,54514
2014-11-18,34953,-19517,106914,49125,14172,32082,51599
2014-11-25,29317,-16341,102393,45070,15753,32106,48447
2014-12-02,33272,-18389,101752,47891,14619,28533,46922
2014-12-09,30554,-14362,109650,49178,18624,33406,47768
2014-12-16,34186,-15694,129475,55795,21609,32397,48091
2014-12-23,29191,-12187,98477,41241,12050,33904,46091
2014-12-30,29959,-14033,97308,41904,11945,32726,46759
2015-01-06,34090,-17087,103775,48606,14516,31275,48362
2015-01-13,37655,-21179,105003,52263,14608,27599,48778
2015-01-20,45704,-29080,111631,59282,13578,24238,53318
2015-01-27,41155,-23963,112718,56159,15004,28914,52877
2015-02-03,44672,-27321,113662,60231,15559,24553,51874
2015-02-10,50503,-33333,115744,66616,16113,21176,54509
2015-02-17,48990,-32842,111614,64638,15648,19998,52840
2015-02-24,51460,-36245,118014,69197,17737,22423,58668
2015-03-03,51965,-38863,121344,69531,17566,24332,63195
2015-03-10,60796,-39030,146639,86736,25940,22011,61041
2015-03-17,55039,-32822,158576,112562,57523,21001,53823
2015-03-24,49483,-32656,106731,64097,14614,19193,51849
2015-03-31,44332,-29618,110447,66324,21992,18771,48389
2015-04-07,43578,-30019,114881,67159,23581,22081,52100
2015-04-14,42709,-30578,118686,66797,24088,23020,53598
2015-04-21,33596,-27051,126801,64497,30901,33343,60394
2015-04-28,24895,-20909,128938,64232,39337,33858,54767
2015-05-05,13563,-10080,122108,63415,49852,30028,40108
2015-05-12,693,-3982,123908,62731,62038,29133,33115
2015-05-19,-1396,4348,117811,64147,65543,25184,20836
2015-05-26,-365,7333,121908,63657,64022,30695,23362
2015-06-02,12334,-1025,123127,66197,53863,30095,31120
2015-06-09,22678,-13745,118799,68560,45882,21004,34749
2015-06-16,22962,-12281,118620,71354,48392,22484,34765
2015-06-23,24406,-17579,81380,38597,14191,18270,35849
2015-06-30,30753,-23450,91797,44418,13665,23105,46555
2015-07-07,47453,-32268,120095,63010,15557,35928,68196
2015-07-14,60728,-40726,138431,76754,16026,38177,78903
2015-07-21,67331,-43568,153762,87887,20556,41443,85011
2015-07-28,81035,-56067,162118,104368,23333,35195,91262
2015-08-04,87720,-64180,170087,112225,24505,33993,98173
2015-08-11,89780,-67405,172252,118620,28840,28546,95951
2015-08-18,86078,-66794,161743,114630,28552,21407,88201
2015-08-25,80808,-59712,168819,114631,33823,29555,89267
2015-09-01,76574,-55119,161893,108541,31967,28964,84083
2015-09-08,68580,-48640,159492,98424,29844,29506,78146
2015-09-15,69332,-47083,188043,118341,49009,28509,75592
2015-09-22,57613,-38394,136213,72839,15226,40901,79295
2015-09-29,62891,-42235,139431,79347,16456,36211,78446
2015-10-06,51546,-35010,121676,69479,17933,29276,64286
2015-10-13,44722,-33949,116800,62925,18203,28207,62156
2015-10-20,34550,-27112,121148,63314,28764,31368,58480
2015-10-27,31969,-18895,122885,65506,33537,34134,53029
2015-11-03,32644,-19491,119629,65076,32432,32017,51508
2015-11-10,35602,-17907,134360,67270,31668,45787,63694
2015-11-17,49967,-28352,141785,75090,25123,45589,73941
2015-11-24,57148,-38617,143742,80182,23034,41304,79921
2015-12-01,58853,-38980,145547,83205,24352,38349,77329
2015-12-08,61977,-40138,162857,86698,24721,48776,88914
2015-12-15,71972,-51009,189775,118379,46407,44262,95271
2015-12-22,76749,-56027,163581,97189,20440,43455,99482
2015-12-29,80673,-60787,172137,101821,21148,47598,108385
2016-01-05,79735,-60130,166610,101060,21325,40898,101028
2016-01-12,78709,-59214,166273,102793,24084,38837,98051
2016-01-19,82481,-66386,165344,105244,22763,33064,99450
2016-01-26,81197,-66819,165240,105878,24681,32767,99586
2016-02-02,70420,-52420,157362,103015,32595,30069,82489
2016-02-09,59638,-51935,157150,104221,44583,27279,79214
2016-02-16,52387,-45085,158608,103804,51417,29077,74162
2016-02-23,43501,-36940,157921,100612,57111,31487,68427
2016-03-01,37575,-30478,159107,102244,64669,31018,61496
2016-03-08,27220,-25781,174347,105413,78193,30550,56331
2016-03-15,17153,-16826,169228,108483,91330,31584,48410
2016-03-22,9659,-15009,98997,46885,37226,21807,36816
2016-03-29,3659,-6180,101099,45660,42001,28146,34326
2016-04-05,-6488,97,105335,44400,50888,29565,29468
2016-04-12,-10102,2385,107755,45199,55301,28968,26583
2016-04-19,-18065,7308,114198,46801,64866,32473,25165
2016-04-26,-25684,11999,121080,47268,72952,37104,25105
2016-05-03,-30745,18943,123864,47204,77949,39840,20897
2016-05-10,-33890,25874,124765,48293,82183,42040,16166
2016-05-17,-33527,22706,124370,50005,83532,37009,14303
2016-05-24,-25595,20047,123789,55464,81059,32834,12787
2016-05-31,-30322,26259,126518,51879,82201,38753,12494
2016-06-07,-29402,21537,135330,52674,82076,37421,15884
2016-06-14,-40910,18440,177711,74637,115547,42394,23954
2016-06-21,-14134,2595,118157,44071,58205,40664,38069
2016-06-28,-15439,7949,114425,44473,59912,38675,30726
2016-07-05,-18148,11517,116494,43551,61699,41031,29514
2016-07-12,-22521,17175,114230,42740,65261,39963,22788
2016-07-19,-27679,22068,117603,42753,70432,43086,21018
2016-07-26,-22944,23180,118079,43091,66035,44023,20843
2016-08-02,-21877,17758,115825,42005,63882,41711,23953
2016-08-09,-15537,15366,115796,42636,58173,43647,28281
2016-08-16,-22766,12473,124610,43388,66154,46118,33645
2016-08-23,-31617,16734,131618,43820,75437,50097,33363
2016-08-30,-34035,22400,125716,42757,76792,46808,24408
2016-09-06,-30005,20905,122747,43384,73389,44136,23231
2016-09-13,-18511,17058,124676,48174,66685,45790,28732
2016-09-20,-13779,16303,137204,53400,67179,57216,40913
2016-09-27,18861,-11615,105130,44542,25681,34579,46194
2016-10-04,20364,-14077,104219,45693,25329,32585,46662
2016-10-11,19525,-11704,104002,46146,26621,30809,42513
2016-10-18,15506,-14298,95793,43075,27569,23679,37977
2016-10-25,21648,-13324,113501,50812,29164,33274,46598
2016-11-01,24770,-15960,121156,56569,31799,35723,51683
2016-11-08,30078,-21312,120993,60639,30561,32850,54162
2016-11-15,32534,-18599,125532,64713,32179,34293,52892
2016-11-22,29571,-17462,118667,64108,34537,28260,45722
2016-11-29,27182,-18576,114416,61735,34553,25010,43586
2016-12-06,22893,-18158,107289,56070,33177,21538,39696
2016-12-13,20121,-21869,114265,54943,34822,24035,45904
2016-12-20,13942,-11754,106080,52784,38842,22246,34000
2016-12-27,8669,-1598,93212,30039,21370,36597,38195
2017-01-03,14171,-3871,98751,33109,18938,39546,43417
2017-01-10,11325,-7935,90632,33421,22096,28405,36340
2017-01-17,4856,-5456,100307,37227,32371,32064,37520
2017-01-24,-3042,2519,99574,34655,37697,36175,33656
2017-01-31,-9949,3472,114274,36065,46014,44939,41467
2017-02-07,-18938,8550,118424,37515,56453,46127,37577
2017-02-14,-28193,19340,125056,37935,66128,53152,33812
2017-02-21,-32520,24584,131522,38291,70811,58780,34196
2017-02-28,-37625,30090,135442,37216,74841,63125,33035
2017-03-07,-28459,29220,147601,44006,72465,65616,36396
2017-03-14,-12786,21458,176379,73482,86268,74620,53162
2017-03-21,32464,-24403,119123,60428,27964,30293,54696
2017-03-28,36441,-28217,121699,63563,27122,30419,58636
2017-04-04,38710,-30225,133688,66642,27932,38535,68760
2017-04-11,38595,-32334,126412,65672,27077,31432,63766
2017-04-18,42167,-33252,136614,71513,29346,37306,70558
2017-04-25,52745,-42642,165504,81341,28596,52545,95187
2017-05-02,61470,-47704,192692,93666,32196,66565,114269
2017-05-09,99276,-86215,214946,132142,32866,47412,133627
2017-05-16,108684,-98000,219483,145253,36569,39130,137130
2017-05-23,112104,-99109,208304,147449,35345,29681,128790
2017-05-30,109374,-98187,200273,144726,35352,23711,121898
2017-06-06,105838,-94501,210933,145121,39283,26492,120993
2017-06-13,98093,-88595,204115,134249,36156,26781,115376
2017-06-20,85766,-82881,219496,156474,70708,28507,111388
2017-06-27,47978,-49495,143798,78927,30949,28698,78193
2017-07-03,32293,-39372,145079,71029,38736,34300,73672
2017-07-11,-6631,-8604,161065,70170,76801,46080,54684
2017-07-18,-22327,8043,169522,65157,87484,60000,51957
2017-07-25,-41516,26613,177330,61163,102679,70385,43772
2017-08-01,-61484,40638,190622,58579,120063,82885,42247
2017-08-08,-84985,62821,205963,58066,143051,98237,35416
2017-08-15,-69109,51349,192026,59593,128702,86455,35106
2017-08-22,-66306,51099,186960,61276,127582,80965,29866
2017-08-29,-68676,53167,191798,59983,128659,86806,33639
2017-09-05,-71350,53644,203353,62321,133671,94732,41088
2017-09-12,-74071,50499,227931,78318,152389,91645,41146
2017-09-19,-79971,58846,299169,149713,229684,100675,41829
2017-09-26,-96830,74605,181913,33487,130317,102688,28083
2017-10-03,-97056,75128,177263,35298,132354,97204,22076
2017-10-10,-97535,76392,175817,33076,130611,97068,20676
2017-10-17,-95735,75086,174347,35726,131461,94507,19421
2017-10-24,-89688,72332,172673,33619,123307,96561,24229
2017-10-31,-71778,57839,157542,32021,103799,84309,26470
2017-11-07,-61941,50889,147706,32552,94493,75460,24571
2017-11-14,-57965,47335,143841,35157,93122,70473,23138
2017-11-21,-62186,45125,143596,34230,96416,67324,22199
2017-11-28,-61824,45658,145257,35966,97790,67882,22224
2017-12-05,-56105,42466,147099,39258,95363,66467,24001
2017-12-12,-53487,41960,149275,45454,98941,62198,20238
2017-12-19,-55571,45901,155022,49332,104903,68451,22550
2017-12-26,-30479,17346,116559,35963,66442,42372,25026
2018-01-02,-30882,14739,126829,37528,68410,49297,34558
2018-01-09,-41751,17461,147839,44166,85917,58581,41120
2018-01-16,-40070,17556,160810,54231,94301,61473,43917
2018-01-23,-46594,22557,168849,53866,100460,69446,46889
2018-01-30,-57426,33465,176871,56192,113618,75296,41831
2018-02-06,-60562,40164,167890,55913,116475,69492,29328
2018-02-13,-50244,32529,155262,52333,102577,62535,30006
2018-02-20,-42969,23127,144832,52401,95370,49373,26246
2018-02-27,-38133,22220,145351,48621,86754,54279,32059
2018-03-06,-22630,19565,139318,46346,68976,54233,34668
2018-03-13,-23152,19420,154478,50424,73576,59919,40499
2018-03-20,-21744,24560,180240,64019,85763,78744,54184
2018-03-27,32868,-27050,127568,63273,30405,33518,60568
2018-04-03,33118,-31872,127509,64223,31105,29558,61430
2018-04-10,31443,-31672,124621,63718,32275,28027,59699
2018-04-17,22890,-30324,128174,62509,39619,28575,58899
2018-04-24,21850,-25144,120406,61316,39466,23559,48703
2018-05-01,29245,-27535,121676,62784,33539,25940,53475
2018-05-08,27477,-23861,128877,63390,35913,33156,57017
2018-05-15,27423,-23656,128708,64838,37415,30419,54075
2018-05-22,23386,-26212,136118,71081,47695,23555,49767
2018-05-29,18977,-15690,147495,81293,62316,32696,48386
2018-06-05,20361,-16039,158317,90417,70056,35266,51305
2018-06-12,20041,-14988,156985,89911,69870,30168,45156
2018-06-19,-6284,-14014,190384,85775,92059,45738,59752
2018-06-26,40909,-32799,159233,86272,45363,40866,73665
2018-07-03,58151,-49448,158341,100077,41926,26934,76382
2018-07-10,59195,-52887,159504,101315,42120,26586,79473
2018-07-17,58541,-47484,157927,101031,42490,25594,73078
2018-07-24,49149,-44511,151441,97689,48540,20084,64595
2018-07-31,35104,-31569,140253,84857,49753,23679,55248
2018-08-07,29728,-24898,144934,79517,49789,33269,58167
2018-08-14,31283,-26198,144705,80789,49506,30627,56825
2018-08-21,26792,-27021,145677,79257,52465,32271,59292
2018-08-28,25410,-24789,147679,78787,53377,34111,58900
2018-09-04,30574,-26307,151238,83790,53216,34748,61055
2018-09-11,34707,-26942,158974,97457,62750,30506,57448
2018-09-18,57484,-30111,150538,92956,35472,25979,56090
2018-09-25,16531,-19532,115727,51398,34867,31812,51344
2018-10-02,10287,-18484,127333,48865,38578,41940,60424
2018-10-09,8203,-12145,121489,49286,41083,38867,51012
2018-10-16,6874,-11019,115386,49320,42446,32202,43221
2018-10-23,8158,-7228,118053,53794,45636,32031,39259
2018-10-30,8472,-9655,118508,56057,47585,29436,39091
2018-11-06,921,-2632,116284,49033,48112,33753,36385
2018-11-13,5898,-2791,121999,53110,47212,36773,39564
2018-11-20,11274,-6289,140651,68576,57302,39059,45348
2018-11-27,15596,-8630,145122,71616,56020,41427,50057
2018-12-04,19305,-12936,156750,83381,64076,38736,51672
2018-12-11,22315,-11669,161530,84808,62493,41672,53341
2018-12-18,38481,-7457,191476,108148,69667,51566,59023
2018-12-24,53097,-44692,159195,99624,46527,27887,72579
