date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1999-01-12,-47961,32807,80352,12228,60189,37222,4415
1999-01-19,-46207,30076,76822,11864,58071,34777,4701
1999-01-26,-46220,30121,76505,11045,57265,34715,4594
1999-02-02,-54956,40117,89734,11835,66791,44079,3962
1999-02-09,-68051,53636,100332,9689,77740,56505,2869
1999-02-16,-66220,51781,98123,7940,74160,55186,3405
1999-02-23,-64761,50884,95748,5929,70690,54471,3587
1999-03-02,-68072,51900,97800,6771,74843,55330,3430
1999-03-09,-60245,41466,85178,5666,65911,43428,1962
1999-03-16,-48071,29714,80622,10261,58332,33646,3932
1999-03-23,-41518,23255,76062,10777,52295,29659,6404
1999-03-30,-41217,25332,78567,10710,51927,32303,6971
1999-04-06,-37326,21883,79770,10679,48005,33420,11537
1999-04-13,-26706,11805,84956,18208,44914,31968,20163
1999-04-20,-33642,21484,83096,17998,51640,30840,9356
1999-04-27,-34692,23427,82409,16616,51308,31972,8545
1999-05-04,-47018,32382,76614,6026,53044,35807,3425
1999-05-11,-52740,38455,82022,5977,58717,40591,2136
1999-05-18,-51461,37555,81269,7076,58537,39323,1768
1999-05-25,-41331,26494,74250,9364,50695,29275,2781
1999-06-01,-32242,17963,76488,14022,46264,26831,8868
1999-06-08,-25164,11089,82171,19196,44360,26609,15520
1999-06-15,-29471,14487,76482,13829,43300,27625,13138
1999-06-22,-27133,12033,79866,15323,42456,27561,15528
1999-06-29,-31850,20172,78443,12353,44203,29679,9507
1999-07-06,-43323,32344,81775,12456,55779,35687,3343
1999-07-13,-43193,32175,81007,13566,56759,35368,3193
1999-07-20,-33621,22730,74994,13929,47550,29595,6865
1999-07-27,-36431,25650,74673,12710,49141,30824,5174
1999-08-03,-56501,41960,86060,8212,64713,44995,3035
1999-08-10,-63500,48438,94386,9074,72574,51159,2721
1999-08-17,-57366,41916,86799,8409,65775,44582,2666
1999-08-24,-48106,34463,83534,10811,58917,38351,3888
1999-08-31,-41056,26620,73844,6978,48034,34083,7463
1999-09-07,-39552,25335,72739,6058,45610,33765,8430
1999-09-14,-40487,24846,74979,6460,46947,34187,9341
1999-09-21,-47333,31101,79137,4538,51871,39471,8370
1999-09-28,-64237,44806,89783,3872,68109,49826,5020
1999-10-05,-64700,45232,92737,4904,69604,49990,4758
1999-10-12,-69517,50186,95551,4105,73622,53320,3134
1999-10-19,-51840,34695,80320,6556,58396,37266,2571
1999-10-26,-46357,28246,77899,8546,54903,33033,4787
1999-11-02,-44768,27340,79536,7908,52676,34051,6711
1999-11-09,-33578,15841,86458,14267,47845,32436,16595
1999-11-16,-35880,18593,81061,10875,46755,32714,14121
1999-11-23,-44204,26292,76209,6194,50398,33429,7137
1999-11-30,-39380,24433,71574,6984,46364,32267,7834
1999-12-07,-37917,22978,69769,6867,44784,31749,8771
1999-12-14,-38624,22429,69789,6949,45573,30943,8514
1999-12-21,-41589,25968,69062,7927,49516,32542,6574
1999-12-28,-42043,26058,70000,8501,50544,32641,6583
2000-01-04,-51932,34848,76093,6355,58287,39893,5045
