date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1993-03-30,-27407,9928,68945,15902,43309,24455,14527
1993-04-06,-30572,13184,73140,15031,45603,27477,14293
1993-04-13,-39610,22368,78095,19084,58694,27466,5098
1993-04-20,-39367,22530,80388,20269,59636,27736,5206
1993-04-27,-32159,18877,77016,23964,56123,23965,5088
1993-05-04,-32467,19533,78734,25983,58450,24033,4500
1993-05-11,-25474,17386,76829,28649,54123,22168,4782
1993-05-18,-27740,21047,78349,27288,55028,25068,4021
1993-05-25,-41500,26486,89308,24139,65639,30260,3774
1993-06-01,-41705,25759,92225,25120,66825,29993,4234
1993-06-08,-40567,26461,98719,32372,72939,31016,4555
1993-06-15,-36571,29193,96625,32121,68692,34555,5362
1993-06-22,-16545,13911,64172,20885,37430,21297,7386
1993-06-29,-20958,16504,65907,18827,39785,24833,8329
1993-07-06,-14947,13785,67374,22681,37628,23960,10175
1993-07-13,-11846,12080,73422,27633,39479,22638,10558
1993-07-20,-10912,10736,71003,28169,39081,20776,10040
1993-07-27,-28842,20910,75198,17239,46081,29532,8622
1993-08-03,-37124,25585,78735,14468,51592,32867,7282
1993-08-10,-28976,20211,77346,18906,47882,29742,9531
1993-08-17,-35461,24637,85910,17051,52512,34519,9882
1993-08-24,-21369,17802,81682,27195,48564,28021,10219
1993-08-31,-18218,15127,82941,31893,50111,26086,10959
1993-09-07,-6576,5292,86428,44058,50634,17832,12540
1993-09-14,16106,-7820,84465,64836,48730,5352,13172
1993-09-21,26485,-13672,59291,43921,17436,2766,16438
1993-09-28,21263,-9553,59209,41171,19908,4227,13780
1993-10-05,27641,-12979,60642,47460,19819,2393,15372
1993-10-12,28477,-13249,65006,49591,21114,2254,15503
1993-10-19,59573,-33048,93772,80154,20581,2057,35105
1993-10-26,67782,-40094,102775,88894,21112,1431,41525
1993-11-02,57452,-32794,93601,76192,18740,1210,34004
1993-11-09,52802,-30580,93744,75565,22763,2231,32811
1993-11-16,18299,-10055,76575,51092,32793,5364,15419
1993-11-23,37487,-14803,82388,64072,26585,1934,16737
1993-11-30,44412,-22632,92775,70195,25783,2265,24897
1993-12-07,39803,-19772,90361,70534,30731,2318,22090
1993-12-14,48991,-25864,98111,83018,34027,2549,28413
1993-12-21,72883,-42727,101590,87637,14754,3598,46325
1993-12-28,70048,-43099,100336,85651,15603,3296,46395
1994-01-04,49639,-22270,103821,65201,15562,25528,47798
1994-01-11,46545,-20591,105981,67235,20690,23920,44511
1994-01-18,43876,-18610,106559,66672,22796,23459,42069
1994-01-25,56806,-32963,100271,80988,24182,3350,36313
1994-02-01,23183,-9519,84861,60077,36894,4406,13925
1994-02-08,15906,-6366,86434,56426,40520,8700,15066
1994-02-15,-6370,11167,103131,48953,55323,22648,11481
1994-02-22,-13601,13200,100123,48710,62311,21985,8785
1994-03-01,-11074,8528,98853,50122,61196,19382,10854
1994-03-08,-2787,3134,93851,54282,57069,13639,10505
1994-03-15,7290,-1969,94943,22940,15650,9697,11666
1994-03-22,16973,-8979,50508,32027,15054,3331,12310
1994-03-29,9444,-6055,53287,27737,18293,5503,11558
1994-04-05,1868,-407,57101,23941,22073,11131,11538
1994-04-12,5978,-3126,55960,24988,19010,9301,12427
1994-04-19,6764,-2468,56896,27259,20495,9098,11566
1994-04-26,6000,-311,58882,28583,22583,9221,9532
1994-05-03,-1113,1352,67119,27299,28412,13046,11694
1994-05-10,13421,-8747,62470,36284,22863,6079,14826
1994-05-17,25408,-10603,64182,44956,19548,4270,14873
1994-05-24,30953,-14274,70215,50154,19201,5144,19418
1994-05-31,33609,-14113,71275,52392,18783,3773,17886
1994-06-07,36185,-18003,84052,59938,23753,1491,19494
1994-06-14,28375,-9464,79926,54951,26576,4537,14001
1994-06-21,12451,-3330,63074,34658,22207,7421,10751
1994-06-28,8811,-3797,65551,34550,25739,8992,12789
1994-07-05,1262,2183,68419,32579,31317,10585,8402
1994-07-12,7614,716,73980,38911,31297,10866,10150
1994-07-19,10324,-4079,75196,39638,29314,9495,13574
1994-07-26,11342,-3506,75748,42173,30831,8968,12474
1994-08-02,18033,-8981,73413,45612,27579,5082,14063
1994-08-09,27054,-13317,73474,51266,24212,3217,16534
1994-08-16,28788,-11654,72160,51668,22880,4855,16509
1994-08-23,16665,-8683,74347,47069,30404,6366,15049
1994-08-30,21846,-11226,72090,48623,26777,4334,15560
1994-09-06,19712,-10599,72539,48776,29064,3573,14172
1994-09-13,20018,-10096,70026,50404,30386,2254,12350
1994-09-20,8702,-1452,72975,24299,15597,6598,8050
1994-09-27,6606,-2596,48160,24328,17722,4668,7264
1994-10-04,18403,-7539,52336,34538,16135,3116,10655
1994-10-11,35697,-13419,63724,49592,13895,3140,16559
1994-10-18,20900,-7555,63023,40117,19217,5572,13127
1994-10-25,10790,-3429,68467,36676,25886,8638,12067
1994-11-01,14017,-5109,70377,40127,26110,7954,13063
1994-11-08,20938,-10265,75024,48085,27147,7257,17522
1994-11-15,29570,-17414,80629,56339,26769,5431,22845
1994-11-22,35357,-23805,86959,61952,26595,4675,28480
1994-11-29,40273,-25277,88930,64188,23915,4998,30275
1994-12-06,58462,-35724,101704,78980,20518,3688,39412
1994-12-13,58131,-37538,104478,84594,26463,2874,40412
1994-12-20,52327,-30500,99621,62783,10456,1844,32344
1994-12-27,53893,-30649,75424,64400,10507,2533,33182
1995-01-03,56862,-33724,79062,67485,10623,594,34318
1995-01-10,64761,-40300,91881,79904,15143,768,41068
1995-01-17,44445,-24181,86134,69453,25008,2283,26464
1995-01-24,42463,-24894,83432,67301,24838,1942,26836
1995-01-31,41897,-26239,85272,67452,25555,2193,28432
1995-02-07,44875,-27510,84900,69421,24546,1644,29154
1995-02-14,38134,-23663,83792,65115,26981,1846,25509
1995-02-21,15076,-3808,90189,63226,48150,6117,9925
1995-02-28,12188,-870,94456,63596,51408,9875,10745
1995-03-07,5654,2196,110580,62288,56634,15308,13112
1995-03-14,-2453,5165,97055,24366,26819,14981,9816
1995-03-21,-5090,7276,59405,22865,27955,16598,9322
1995-03-28,-3187,4997,58807,24138,27325,14590,9593
1995-04-04,-4164,5627,61198,25002,29166,14081,8454
1995-04-11,-1507,4767,62991,29125,30632,10507,5740
1995-04-18,-1346,5150,65264,31293,32639,12296,7146
1995-04-25,-3391,4805,64032,32215,35606,9477,4672
1995-05-02,-1460,3673,63835,34595,36055,9454,5781
1995-05-09,1529,768,70164,40345,38816,9095,8327
1995-05-16,11110,-3939,68725,44535,33425,6324,10263
1995-05-23,16796,-7684,67121,46642,29846,5010,12694
1995-05-30,5536,-2379,69703,44159,38623,6705,9084
1995-06-06,8147,-3774,68074,46201,38054,6710,10484
1995-06-13,9374,-4820,70892,50014,40640,4766,9586
1995-06-20,12133,-5517,35188,21840,9707,3110,8627
1995-06-27,11561,-3876,35848,22310,10749,3705,7581
1995-07-03,19203,-9046,38981,28717,9514,2233,11279
1995-07-11,26352,-10926,47853,35616,9264,3774,14700
1995-07-18,28957,-12258,51837,38146,9189,3766,16024
1995-07-25,30139,-13666,53017,40528,10389,2487,16153
1995-08-01,29318,-12959,52390,39821,10503,2873,15832
1995-08-08,35351,-14584,60382,46487,11136,3927,18511
1995-08-15,34674,-16718,62361,45884,11210,2780,19498
1995-08-22,36590,-15549,66558,50916,14326,5224,20773
1995-08-29,34106,-14134,70417,52839,18733,5138,19272
1995-09-05,34916,-15342,69898,54029,19113,3981,19323
1995-09-12,37797,-18439,84762,65251,27454,3309,21748
1995-09-19,36906,-18410,66246,52437,15531,2826,21236
1995-09-26,34315,-20211,64851,51192,16877,1509,21720
1995-10-03,35315,-20961,66926,51748,16433,1531,22492
1995-10-10,34123,-20783,67060,51756,17633,1328,22111
1995-10-17,34565,-21164,65330,52446,17881,1694,22858
1995-10-24,33383,-20047,66502,52825,19442,1467,21514
1995-10-31,39527,-22212,71121,58987,19460,812,23024
1995-11-07,43394,-25063,76844,63172,19778,833,25896
1995-11-14,38541,-23049,71125,58449,19908,483,23532
1995-11-21,36233,-20664,72962,56229,19996,3490,24154
