date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2012-03-13,-15433,13223,32911,5280,20713,19223,6000
2012-03-20,-5457,4210,20288,2300,7757,14686,10476
2012-03-27,-6109,3984,20247,2594,8703,14046,10062
2012-04-03,-7860,5846,20753,2543,10403,14477,8631
2012-04-10,-8927,7170,21802,2835,11762,15433,8263
2012-04-17,-14050,11939,23952,3151,17201,16999,5060
2012-04-24,-11726,9486,19126,1304,13030,13984,4498
2012-05-01,-10880,8025,19815,3302,14182,12155,4130
2012-05-08,-6475,6224,17969,3427,9902,11688,5464
2012-05-15,-3261,2597,17263,5462,8723,9124,6527
2012-05-22,3253,-1509,21439,11398,8145,8418,9927
2012-05-29,6805,-5208,21453,13817,7012,5798,11006
2012-06-05,7183,-5530,21530,13207,6024,6575,12105
2012-06-12,5531,-3885,27485,18395,12864,6640,10525
2012-06-19,2342,-2213,12612,6587,4245,3564,5777
2012-06-26,-1086,576,16601,7651,8737,6108,5532
2012-07-03,-5809,4320,20483,7158,12967,9862,5542
2012-07-10,-7714,5591,22356,7057,14771,11434,5843
2012-07-17,-8303,6939,23328,8749,17052,10986,4047
2012-07-24,-8657,7779,23206,8382,17039,11703,3924
2012-07-31,-12533,10347,24967,7151,19684,13659,3312
2012-08-07,-17252,14588,28945,6619,23871,17808,3220
2012-08-14,-17726,15247,30100,7482,25208,18273,3026
2012-08-21,-18931,16372,31984,7596,26527,19835,3463
2012-08-28,-16220,14229,31374,9294,25514,18215,3986
2012-09-04,-12565,11401,25393,7271,19836,14815,3414
2012-09-11,-12666,10032,27152,8115,20781,13641,3609
2012-09-18,-19628,16605,29331,4067,23695,20402,3797
2012-09-25,-23538,19965,32787,3973,27511,23389,3424
2012-10-02,-24664,21381,34171,3456,28120,25298,3917
2012-10-09,-20266,16710,30497,3857,24123,21075,4365
2012-10-16,-19452,16284,29486,3950,23402,20646,4362
2012-10-23,-18705,16349,29136,4011,22716,20528,4179
2012-10-30,-19248,16745,31020,5473,24721,20849,4104
2012-11-06,-22605,19388,35323,5508,28113,24440,5052
2012-11-13,-21558,19194,33252,5019,26577,23692,4498
2012-11-20,-19606,17858,29757,4087,23693,21436,3578
2012-11-27,-21433,18710,31901,5539,26972,21653,2943
2012-12-04,-23454,21088,32167,3771,27225,23272,2184
2012-12-11,-28591,24600,41381,2845,31436,29560,4960
2012-12-18,-18410,14230,42446,4529,22939,31830,17600
2012-12-24,-20607,14739,40135,5177,25784,27425,12686
2012-12-31,-19774,17082,34531,4147,23921,25832,8750
2013-01-08,-22178,19220,36531,4735,26913,26635,7415
2013-01-15,-25639,22262,38654,3202,28841,29920,7658
2013-01-22,-26934,23532,37179,2733,29667,28815,5283
2013-01-29,-25073,21816,35480,3271,28344,26830,5014
2013-02-05,-26764,22700,37058,3054,29818,26343,3643
2013-02-12,-24683,21338,35107,3018,27701,24898,3560
2013-02-19,-27936,24693,37555,3192,31128,28153,3460
2013-02-26,-21640,20297,32864,2987,24627,23570,3273
2013-03-05,-20350,19044,31547,3391,23741,23812,4768
2013-03-12,-20431,19350,32813,3591,24022,24250,4900
2013-03-19,-13120,12477,28933,2269,15389,23384,10907
2013-03-26,-19541,16916,34922,1943,21484,27946,11030
2013-04-02,-20775,18387,39229,2885,23660,31358,12971
2013-04-09,-26690,25150,42549,2234,28924,35358,10208
2013-04-16,-32531,30808,46640,2030,34561,39986,9178
2013-04-23,-29329,27705,45127,2374,31703,38027,10322
2013-04-30,-31645,29050,46571,2743,34388,38184,9134
2013-05-07,-30001,28536,46005,3069,33070,37775,9239
2013-05-14,-22700,23216,37320,3428,26128,30436,7220
2013-05-21,-13974,17782,32833,5914,19888,23978,6196
2013-05-28,-12381,14011,29377,7407,19788,19666,5655
2013-06-04,-3758,6013,25530,11883,15641,11700,5687
2013-06-11,-234,2653,26293,15339,15573,8940,6287
2013-06-18,-32,2126,11742,1511,1543,8469,6343
2013-06-25,3260,-711,11632,4617,1357,5377,6088
2013-07-02,3670,-1174,12384,5151,1481,5288,6462
2013-07-09,3509,-1008,12512,5003,1494,5390,6398
2013-07-16,4747,-2744,12904,6403,1656,4224,6968
2013-07-23,3882,-1846,12613,6125,2243,4517,6363
2013-07-30,1169,-520,12153,3916,2747,5593,6113
2013-08-06,2768,-1539,11572,4667,1899,4595,6134
2013-08-13,118,197,11976,2725,2607,6632,6435
2013-08-20,-2546,2390,13500,1066,3612,9760,7370
2013-08-27,-200,252,12193,2092,2292,7463,7211
2013-09-03,1877,-797,13105,4609,2732,6384,7181
2013-09-10,845,-601,15097,4501,3656,8068,8669
2013-09-17,-6129,5657,15842,913,7042,12463,6806
2013-09-24,-9537,8055,19621,845,10382,15470,7415
2013-10-01,-13106,10891,22577,911,14017,17706,6815
2013-10-08,-12576,10766,23230,1074,13650,18343,7577
2013-10-15,-14801,12668,24608,1317,16118,19379,6711
2013-10-22,-15697,13114,27336,1634,17331,21349,8235
2013-10-29,-12588,10625,23564,1964,14552,17705,7080
2013-11-05,-11129,9708,22367,1603,12732,16937,7229
2013-11-12,-11624,10366,21996,1664,13288,16814,6448
2013-11-19,-13609,12476,24450,1910,15519,18940,6464
2013-11-26,-11473,10249,20919,1352,12825,16064,5815
2013-12-03,-8716,7639,18318,1069,9785,13660,6021
2013-12-10,-10694,8553,19953,1803,12497,13183,4630
2013-12-17,-7346,5673,17939,871,8217,12842,7169
2013-12-24,-8180,6456,18668,880,9060,13899,7443
2013-12-31,-8477,6707,18748,693,9170,14198,7491
2014-01-07,-9832,7866,20039,922,10754,14803,6937
2014-01-14,-11512,9614,22870,1117,12629,17539,7925
2014-01-21,-10088,8556,22817,1258,11346,17330,8774
2014-01-28,-10925,9685,21796,947,11872,16606,6921
2014-02-04,-8288,8032,20098,1732,10020,14588,6556
2014-02-11,-8653,7641,19085,2021,10674,13176,5535
2014-02-18,-10490,8906,21516,1872,12362,15331,6425
