epoch,quote,digit,sigma,sigma_bin
1781628754,210.56,6,3.7182,37
1781628755,210.48,8,3.7234,37
1781628756,210.49,9,3.7220,37
1781628757,210.42,2,3.7257,37
1781628758,210.4,0,3.7246,37
1781628759,210.39,9,3.7233,37
1781628760,210.39,9,3.7219,37
1781628761,210.4,0,3.7206,37
1781628762,210.38,8,3.7196,37
1781628763,210.37,7,3.7183,37
1781628764,210.35,5,3.7173,37
1781628765,210.35,5,3.7158,37
1781628766,210.37,7,3.7148,37
1781628767,210.35,5,3.7138,37
1781628768,210.32,2,3.7133,37
1781628769,210.31,1,3.7120,37
1781628770,210.32,2,3.7107,37
1781628771,210.26,6,3.7130,37
1781628772,210.28,8,3.7120,37
1781628773,210.26,6,3.7110,37
1781628774,210.25,5,3.7097,37
1781628775,210.18,8,3.7133,37
1781628776,210.15,5,3.7128,37
1781628777,210.12,2,3.7123,37
1781628778,210.08,8,3.7125,37
1781628779,210.1,0,3.7115,37
1781628780,210.09,9,3.7103,37
1781628781,210.09,9,3.7089,37
1781628782,210.05,5,3.7091,37
1781628783,210.05,5,3.7077,37
1781628784,209.98,8,3.7113,37
1781628785,209.99,9,3.7100,37
1781628786,210,0,3.7087,37
1781628787,210.03,3,3.7082,37
1781628788,210.06,6,3.7077,37
1781628789,210.09,9,3.7072,37
1781628790,210.06,6,3.7068,37
1781628791,210.09,9,3.7063,37
1781628792,210.02,2,3.7098,37
1781628793,210.08,8,3.7121,37
1781628794,210.05,5,3.7116,37
1781628795,210.07,7,3.7106,37
1781628796,210.07,7,3.7092,37
1781628797,210.04,4,3.7088,37
1781628798,210.08,8,3.7090,37
1781628799,210.07,7,3.7077,37
1781628800,210.02,2,3.7088,37
1781628801,210.03,3,3.7075,37
1781628802,210.04,4,3.7063,37
1781628803,210,0,3.7065,37
1781628804,210.08,8,3.7115,37
1781628805,210.16,6,3.7165,37
1781628806,210.14,4,3.7155,37
1781628807,210.16,6,3.7146,37
1781628808,210.14,4,3.7136,37
1781628809,210.08,8,3.7158,37
1781628810,210.1,0,3.7148,37
1781628811,210.07,7,3.7143,37
1781628812,210.06,6,3.7131,37
1781628813,210.07,7,3.7118,37
1781628814,210.1,0,3.7113,37
1781628815,210.14,4,3.7116,37
1781628816,210.15,5,3.7103,37
1781628817,210.1,0,3.7114,37
1781628818,210.11,1,3.7101,37
1781628819,210.15,5,3.7104,37
1781628820,210.13,3,3.7094,37
1781628821,210.16,6,3.7089,37
1781628822,210.21,1,3.7100,37
1781628823,210.24,4,3.7096,37
1781628824,210.23,3,3.7083,37
1781628825,210.2,0,3.7079,37
1781628826,210.24,4,3.7081,37
1781628827,210.13,3,3.7186,37
1781628828,210.09,9,3.7188,37
1781628829,210.07,7,3.7178,37
1781628830,210.09,9,3.7169,37
1781628831,210.07,7,3.7159,37
1781628832,210.01,1,3.7181,37
1781628833,210.02,2,3.7168,37
1781628834,209.98,8,3.7170,37
1781628835,209.97,7,3.7158,37
1781628836,210.03,3,3.7179,37
1781628837,210.03,3,3.7166,37
1781628838,210.03,3,3.7153,37
1781628839,210.11,1,3.7201,37
1781628840,210.06,6,3.7212,37
1781628841,210.03,3,3.7207,37
1781628842,210,0,3.7203,37
1781628843,210.01,1,3.7190,37
1781628844,210.02,2,3.7178,37
1781628845,209.99,9,3.7173,37
1781628846,210.03,3,3.7175,37
1781628847,210.03,3,3.7162,37
1781628848,209.98,8,3.7173,37
1781628849,210.01,1,3.7168,37
1781628850,209.92,2,3.7233,37
1781628851,209.97,7,3.7243,37
1781628852,209.99,9,3.7234,37
1781628853,210.04,4,3.7245,37
1781628854,210.05,5,3.7232,37
1781628855,210,0,3.7243,37
1781628856,210.06,6,3.7264,37
1781628857,210.03,3,3.7259,37
1781628858,210.07,7,3.7261,37
1781628859,210.11,1,3.7263,37
1781628860,210.12,2,3.7251,37
1781628861,209.19,9,3.7251,37
1781628862,209.14,4,3.7262,37
1781628863,209.11,1,3.7257,37
1781628864,209.16,6,3.7268,37
1781628865,209.21,1,3.7278,37
1781628866,209.22,2,3.7266,37
1781628867,209.21,1,3.7254,37
1781628868,209.16,6,3.7264,37
1781628869,209.21,1,3.7275,37
1781628870,209.19,9,3.7265,37
1781628871,209.19,9,3.7252,37
1781628872,209.21,1,3.7243,37
1781628873,209.2,0,3.7231,37
1781628874,209.16,6,3.7233,37
1781628875,209.14,4,3.7224,37
1781628876,209.11,1,3.7219,37
1781628877,209.05,5,3.7240,37
1781628878,209.12,2,3.7273,37
1781628879,209.12,2,3.7260,37
1781628880,209.17,7,3.7270,37
1781628881,209.19,9,3.7261,37
1781628882,209.15,5,3.7263,37
1781628883,209.16,6,3.7251,37
1781628884,209.16,6,3.7238,37
1781628885,209.22,2,3.7259,37
1781628886,209.22,2,3.7246,37
1781628887,209.23,3,3.7234,37
1781628888,209.25,5,3.7224,37
1781628889,209.26,6,3.7212,37
1781628890,209.16,6,3.7293,37
1781628891,209.17,7,3.7281,37
1781628892,209.14,4,3.7276,37
1781628893,209.18,8,3.7278,37
1781628894,209.09,9,3.7341,37
1781628895,209.06,6,3.7336,37
1781628896,209.03,3,3.7331,37
1781628897,209.02,2,3.7319,37
1781628898,209.01,1,3.7307,37
1781628899,209.01,1,3.7294,37
1781628900,209.01,1,3.7282,37
1781628901,209.09,9,3.7328,37
1781628902,209.17,7,3.7374,37
1781628903,209.15,5,3.7365,37
1781628904,209.13,3,3.7356,37
1781628905,209.11,1,3.7347,37
1781628906,209.09,9,3.7337,37
1781628907,209.1,0,3.7326,37
1781628908,209.08,8,3.7316,37
1781628909,209.08,8,3.7304,37
1781628910,209.11,1,3.7299,37
1781628911,209.06,6,3.7309,37
1781628912,209.1,0,3.7311,37
1781628913,209.14,4,3.7313,37
1781628914,209.16,6,3.7304,37
1781628915,209.14,4,3.7295,37
1781628916,209.09,9,3.7305,37
1781628917,209.05,5,3.7307,37
1781628918,209.02,2,3.7302,37
1781628919,209.01,1,3.7291,37
1781628920,209.01,1,3.7278,37
1781628921,209.01,1,3.7265,37
1781628922,208.96,6,3.7275,37
1781628923,208.97,7,3.7264,37
1781628924,208.97,7,3.7251,37
1781628925,209.02,2,3.7261,37
1781628926,209.03,3,3.7249,37
1781628927,209,0,3.7245,37
1781628928,208.92,2,3.7291,37
1781628929,208.96,6,3.7292,37
1781628930,208.95,5,3.7281,37
1781628931,209.03,3,3.7326,37
1781628932,208.98,8,3.7336,37
1781628933,208.99,9,3.7324,37
1781628934,208.98,8,3.7313,37
1781628935,208.97,7,3.7301,37
1781628936,208.96,6,3.7289,37
1781628937,208.93,3,3.7285,37
1781628938,208.89,9,3.7287,37
1781628939,208.86,6,3.7282,37
1781628940,208.9,0,3.7284,37
1781628941,208.91,1,3.7273,37
1781628942,208.87,7,3.7275,37
1781628943,208.91,1,3.7276,37
1781628944,208.9,0,3.7265,37
1781628945,208.93,3,3.7261,37
